CO(GT),NMHC(GT),C6H6(GT),NOX(GT),NO2(GT),PT08.S5(O3),T,RH,AH,NoiseIndex,DQI_Score,CO_cleaned,NMHC_cleaned,AH_cleaned
2.6,150.0,11.9,166.0,113.0,1268.0,13.6,48.9,0.7578,0.0,0.7435078443569009,2.5145026147856337,141.45026147856336,0.7543886543299468
2.0,112.0,9.4,103.0,92.0,972.0,13.3,47.7,0.7255,0.0,0.8867850017199861,2.0283037495700036,111.49053250773994,0.7288455031991744
2.2,88.0,9.0,131.0,114.0,1074.0,11.9,54.0,0.7502,0.0,0.8212931034482758,2.185703448275862,89.46539655172414,0.752273
2.2,80.0,9.2,172.0,122.0,1203.0,11.0,60.0,0.7867,0.0,0.8268861454046639,2.1376790123456795,78.92669410150893,0.7833242798353909
1.6,51.0,6.5,131.0,116.0,1110.0,11.2,59.6,0.7888,0.11879864807907721,0.8916666666666665,1.608666666666667,51.715,0.7872139999999999
1.2,38.0,4.7,89.0,96.0,949.0,11.2,59.2,0.7848,0.14177624100166716,0.8916666666666665,1.226,38.888333333333335,0.7840806666666668
1.2,31.0,3.6,62.0,77.0,733.0,11.3,56.8,0.7603,0.16414392091137173,0.8916666666666665,1.1978333333333333,31.433333333333334,0.7617603333333333
1.0,31.0,3.3,62.0,76.0,730.0,10.7,60.0,0.7702,0.1561320120116634,0.8916666666666665,1.0,30.501666666666665,0.7694568333333333
0.9,24.0,2.3,45.0,60.0,620.0,10.7,59.7,0.7648,0.08773861631029584,0.8916666666666665,0.9,23.78333333333333,0.7635693333333334
0.7,8.0,1.1,16.0,28.0,422.0,11.0,56.2,0.7366,0.06936346657303331,0.8916666666666665,0.7195,9.473333333333336,0.7380213333333334
0.7,16.0,1.6,34.0,48.0,472.0,10.5,58.1,0.7353,0.06936346657303331,0.8916666666666665,0.7411666666666668,17.32166666666667,0.7362251666666666
1.1,29.0,3.2,98.0,82.0,730.0,10.2,59.6,0.7417,0.058492410873530444,0.8916666666666665,1.1260000000000001,30.278333333333336,0.742025
2.0,64.0,8.0,174.0,112.0,1102.0,10.8,57.4,0.7408,0.1766916224228134,0.8916666666666665,1.9501666666666666,62.98166666666667,0.7416254999999999
2.2,87.0,9.5,129.0,101.0,1028.0,10.5,60.6,0.7691,0.2341980180174951,0.8212931034482758,2.110646551724138,82.17491379310344,0.7654007672413793
1.7,77.0,6.3,112.0,98.0,860.0,10.8,58.4,0.7552,0.2049843985687222,0.8916666666666665,1.7108333333333332,75.85166666666666,0.7556203333333333
1.5,43.0,5.0,95.0,92.0,671.0,10.5,57.9,0.7352,0.14064049848068028,0.8916666666666665,1.5303333333333333,45.51333333333334,0.7399211666666667
1.6,61.0,5.2,104.0,95.0,664.0,9.5,66.8,0.7951,0.0953309664132055,0.8653631840796019,1.6430837810945276,63.773518407960196,0.7957166366169155
1.9,63.0,7.3,146.0,112.0,799.0,8.3,76.4,0.8393,0.09073396621346515,0.0,2.0200000000000005,82.0,0.8242
2.9,164.0,11.5,207.0,128.0,1037.0,8.0,81.1,0.8736,0.18554637272415647,0.0,2.16,92.4,0.8485400000000001
2.2,79.0,8.8,184.0,126.0,946.0,8.3,79.8,0.8778,0.18410015914797756,0.5499999999999998,2.2990000000000004,93.04,0.8667389999999999
2.2,95.0,8.3,193.0,131.0,957.0,9.7,71.2,0.8569,0.15783470153166926,0.55,2.56,123.80000000000001,0.852292
2.9,150.0,11.2,243.0,135.0,1104.0,9.8,67.6,0.8185,0.14876806201981083,0.6575816238081481,3.2081765385726664,173.42141693152269,0.8252867322161226
4.8,307.0,20.8,281.0,151.0,1409.0,10.3,64.2,0.8065,0.348355333016835,0.7109715511592378,4.736413741255032,300.00551153805355,0.8119684182520672
6.9,461.0,27.4,383.0,172.0,1704.0,9.7,69.3,0.8319,0.6649091198876923,0.3608624288578755,5.634507609138594,360.1440912737728,0.8130582244027302
6.1,401.0,24.0,351.0,165.0,1654.0,9.6,67.8,0.8133,0.6586080530318795,0.6110160922871338,5.532083494739215,356.0334602683927,0.7991098670466347
3.9,197.0,12.8,240.0,136.0,1285.0,9.1,64.0,0.7419,0.5284587815948898,0.7670888867269837,3.8953417777345396,204.49973784739112,0.7434744791257256
1.5,61.0,4.7,94.0,85.0,821.0,8.2,63.4,0.6905,0.6872858277639848,0.8798974358974357,1.660937435897436,71.4489230769231,0.6929669066666666
